match_id,season,over,ball_in_over,batting_team,bowling_team,cumulative_runs,cumulative_wickets,rf_win_prob,batting_team_won
1529306,2026,17,1,Sunrisers Hyderabad,Chennai Super Kings,144,3,0.65625,1
1529306,2026,17,2,Sunrisers Hyderabad,Chennai Super Kings,145,3,0.6332288401253918,1
1529306,2026,17,3,Sunrisers Hyderabad,Chennai Super Kings,146,3,0.5421245421245421,1
1529306,2026,17,4,Sunrisers Hyderabad,Chennai Super Kings,149,3,0.6848137535816619,1
1529306,2026,17,5,Sunrisers Hyderabad,Chennai Super Kings,153,3,0.6848137535816619,1
1529306,2026,17,6,Sunrisers Hyderabad,Chennai Super Kings,153,3,0.6848137535816619,1
1529306,2026,18,1,Sunrisers Hyderabad,Chennai Super Kings,153,4,0.47523584905660377,1
1529306,2026,18,1,Sunrisers Hyderabad,Chennai Super Kings,154,4,0.47523584905660377,1
1529306,2026,18,1,Sunrisers Hyderabad,Chennai Super Kings,155,4,0.5421245421245421,1
1529306,2026,18,2,Sunrisers Hyderabad,Chennai Super Kings,156,4,0.5153061224489796,1
1529306,2026,18,3,Sunrisers Hyderabad,Chennai Super Kings,157,4,0.4854771784232365,1
1529306,2026,18,4,Sunrisers Hyderabad,Chennai Super Kings,158,4,0.47523584905660377,1
1529306,2026,18,5,Sunrisers Hyderabad,Chennai Super Kings,162,4,0.5421245421245421,1
1529306,2026,18,6,Sunrisers Hyderabad,Chennai Super Kings,168,4,0.9432874078820891,1
1529306,2026,19,1,Sunrisers Hyderabad,Chennai Super Kings,174,4,0.9432874078820891,1
1529306,2026,19,2,Sunrisers Hyderabad,Chennai Super Kings,175,4,0.9432874078820891,1
1529306,2026,19,3,Sunrisers Hyderabad,Chennai Super Kings,175,5,0.9432874078820891,1
1529306,2026,19,4,Sunrisers Hyderabad,Chennai Super Kings,176,5,0.9432874078820891,1
1529306,2026,19,5,Sunrisers Hyderabad,Chennai Super Kings,177,5,0.9432874078820891,1
