player,display_name,bat_balls,bowl_balls,role
RP Meredith,Riley Meredith,3,390,bowler
R Dhawan,Rishi Dhawan,52,174,bowler
Sakib Hussain,Sakib Hussain,0,96,bowler
Sandeep Sharma,Sandeep Sharma,18,1090,bowler
S Sandeep Warrier,Sandeep Warrier,0,79,bowler
Shakib Al Hasan,Shakib Al Hasan,48,156,bowler
Shivam Mavi,Shivam Mavi,27,330,bowler
Shivang Kumar,Shivang Kumar,14,132,bowler
S Gopal,Shreyas Gopal,12,102,bowler
S Kaul,Siddarth Kaul,8,205,bowler
Simarjeet Singh,Simarjeet Singh,15,242,bowler
SH Johnson,Spencer Johnson,11,164,bowler
Suyash Sharma,Suyash Sharma,0,715,bowler
Swapnil Singh,Swapnil Singh,25,103,bowler
T Natarajan,Thangarasu Natarajan,2,1061,bowler
TG Southee,Tim Southee,17,319,bowler
TK Curran,Tom Curran,17,68,bowler
TU Deshpande,Tushar Deshpande,21,941,bowler
TS Mills,Tymal Mills,3,102,bowler
Umran Malik,Umran Malik,16,497,bowler
VG Arora,Vaibhav Arora,27,816,bowler
V Nigam,Vaibhav Nigam,86,281,bowler
CV Varun,Varun Chakravarthy,33,1692,bowler
V Puthur,Vignesh Puthur,0,72,bowler
V Viyaskanth,Vijayakanth Viyaskanth,5,60,bowler
Vijaykumar Vyshak,Vijaykumar Vyshak,12,456,bowler
WD Parnell,Wayne Parnell,5,152,bowler
W O'Rourke,Will O'Rourke,0,62,bowler
XC Bartlett,Xavier Bartlett,20,215,bowler
Yash Dayal,Yash Dayal,9,881,bowler
Yash Thakur,Yash Thakur,0,447,bowler
Yudhvir Singh,Yudhvir Singh,16,139,bowler
YS Chahal,Yuzvendra Chahal,35,1815,bowler
Zeeshan Ansari,Zeeshan Ansari,0,204,bowler
