season,player,avg_impact,matches_played,avg_batting_z,avg_bowling_z,bowled_matches
2022.0,PBB Rajapaksa,0.31683146433297543,9,0.36579810259306494,,0
2022.0,LS Livingstone,0.31604224986253776,14,0.8128669264594018,-0.21618297852609114,11
2022.0,SV Samson,0.3145516668337653,17,0.19035529668923737,,0
2022.0,AR Patel,0.2897084223796182,13,0.04835061780904981,0.3942415860998247,13
2022.0,PP Shaw,0.2767025754953599,10,0.3299932053327006,,0
2022.0,DA Warner,0.25606274154774983,12,0.28004853730705576,,0
2022.0,Mustafizur Rahman,0.24632858190170295,8,-0.08557331232114783,0.46902242107795444,8
2022.0,YS Chahal,0.24298014558798797,17,-0.06273688563779785,0.4051701803988119,17
2022.0,Mohammed Shami,0.23167128200814613,16,2.6793213476515095e-17,0.2994699096299954,16
2022.0,JJ Bumrah,0.2250913277983361,14,-0.1435829948474292,0.5543028367830505,14
2022.0,SA Yadav,0.20732141141814753,8,0.25478393402838834,,0
2022.0,R Ashwin,0.2062607915858176,17,-0.0600962471567284,0.535094116433573,17
2022.0,N Pooran,0.19548173642456548,14,-0.15113688104186926,,0
2022.0,B Kumar,0.1901188667277134,14,-0.1997482917667703,0.49193898373208217,14
2022.0,RK Singh,0.17269243404996867,8,-0.11640896753761845,,0
2022.0,KK Ahmed,0.15409946679457945,10,-0.04467026506364462,0.3422668177320258,10
2022.0,RP Meredith,0.1394416776298396,8,-0.027918915664777874,0.1430344193748168,8
2022.0,M Theekshana,0.12816632348192356,9,-0.05061293273582618,0.35890608849009853,9
2022.0,R Powell,0.12780830973269927,14,0.05247855355231653,-0.11137564779030831,1
2022.0,Ravi Bishnoi,0.11701410201387522,14,-0.015953666094158773,0.11100624685824538,14
2022.0,AD Russell,0.11242940899756283,13,0.5976662375951614,-0.6317182752780505,12
2022.0,MM Ali,0.10659386156423607,10,-0.09678933067797035,0.39133440590419666,10
2022.0,JM Bairstow,0.10381020404312923,11,0.13592223736716197,,0
2022.0,HV Patel,0.10259971358213556,15,-0.19029982917659638,0.41321341853731475,15
2022.0,Arshdeep Singh,0.10030619629954292,14,-0.25541449615518197,0.1369459537917989,14
2022.0,M Jansen,0.09576403445905918,8,-0.03336861164522032,-0.048224390108526555,8
2022.0,AK Markram,0.06205053733712239,14,0.02040449820223733,-0.08181030870523884,4
2022.0,DJ Hooda,0.04634212075963977,15,-0.074119009769796,0.001949928778404549,2
2022.0,M Ashwin,0.03718574838689099,8,-0.16648426219420603,0.15617582245204703,8
2022.0,Kuldeep Yadav,0.03220718380327036,14,-0.32966699716594083,0.11709789496444321,14
2022.0,JR Hazlewood,0.026146331992237346,12,-0.2588037742826424,0.2543979053208218,12
2022.0,M Prasidh Krishna,0.01963290239488071,17,-0.10681621457498892,0.18369656641562607,17
2022.0,TA Boult,0.018062548137683473,16,-0.05864196162005747,0.33265525554592384,16
2022.0,PWH de Silva,-0.004061678906757096,16,-0.2739985861094723,0.3654145825775751,16
2022.0,N Rana,-0.016493178910527546,14,0.10261776894333853,-0.04528920961220541,2
2022.0,Washington Sundar,-0.02317054189309595,9,-0.22519882354415724,0.021861437300948156,8
2022.0,SS Iyer,-0.03568366779133151,14,-0.16227847554277103,0.19466297177419642,1
2022.0,S Dube,-0.03716518817227379,11,0.2702704520000296,-0.726645974081006,2
2022.0,DJ Bravo,-0.04675012174106607,10,-0.19297366125221593,-0.042980846162454484,10
2022.0,DA Miller,-0.06004823740799782,16,-0.09184673205264739,,0
2022.0,KH Pandya,-0.0797463542518663,14,-0.2617234936252536,0.3077962544081673,12
2022.0,CV Varun,-0.08676247515545256,11,-0.1992815842199699,-0.13528927889580222,11
2022.0,Lalit Yadav,-0.09150877803222013,11,-0.5997025974733549,0.10665905050404446,8
2022.0,RA Jadeja,-0.0970306456528604,10,-0.5562171242308704,0.34122903964984685,10
2022.0,Tilak Varma,-0.10500873716736144,14,-0.32820303239811377,0.24736337304452544,2
2022.0,SO Hetmyer,-0.1055234694492028,15,-0.10257615430859833,,0
2022.0,RD Chahar,-0.1118798190195947,13,-0.331534795861377,0.3439218976864288,13
2022.0,MA Agarwal,-0.1207344655301163,13,-0.3172469610514036,,0
2022.0,AS Joseph,-0.13609173027854393,9,-0.09368619228048225,-0.07761976911176233,9
2022.0,HH Pandya,-0.13805957861742668,15,-0.4251626969446466,0.4688371148060581,10
2022.0,PVD Chameera,-0.1382735259122922,12,-0.07940032571128607,-0.005003131783926788,12
2022.0,Yash Dayal,-0.13939526119706094,9,-0.024816813924246995,-0.1463241573439574,9
2022.0,YBK Jaiswal,-0.1433864402301727,10,-0.11290414522866021,,0
2022.0,Avesh Khan,-0.14996607598859596,13,0.030646789691135625,-0.03904622783919752,13
2022.0,K Rabada,-0.15740386649328048,13,-0.255179574026968,0.07774386527677936,13
2022.0,RV Uthappa,-0.1641579540516718,11,-0.2259935291062681,,0
