season,bowler,pp_balls,pp_runs,pp_wickets,pp_economy,death_balls,death_runs,death_wickets,death_economy,total_balls,total_runs,total_wickets,total_economy
2009,Jaskaran Singh,0.0,0.0,0.0,0.0,6.0,16.0,0.0,16.0,18,32,0.0,10.6667
2009,Joginder Sharma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,57,2.0,8.1429
2009,K Goel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48,62,0.0,7.75
2009,KP Appanna,0.0,0.0,0.0,0.0,6.0,13.0,0.0,13.0,72,91,2.0,7.5833
2009,KP Pietersen,12.0,13.0,1.0,6.5,18.0,29.0,1.0,9.6667,78,88,4.0,6.7692
2009,Kamran Khan,36.0,39.0,1.0,6.5,35.0,59.0,3.0,10.1143,107,133,6.0,7.4579
2009,L Balaji,48.0,69.0,1.0,8.625,92.0,152.0,5.0,9.913,224,320,13.0,8.5714
2009,LA Carseldine,6.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,6,6,1.0,6.0
2009,LR Shukla,6.0,7.0,0.0,7.0,18.0,30.0,1.0,10.0,84,102,3.0,7.2857
2009,LRPL Taylor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,13,0.0,13.0
2009,M Kartik,24.0,25.0,1.0,6.25,24.0,34.0,0.0,8.5,204,207,4.0,6.0882
2009,M Morkel,30.0,30.0,0.0,6.0,6.0,1.0,0.0,1.0,42,40,0.0,5.7143
2009,M Muralitharan,24.0,14.0,1.0,3.5,42.0,30.0,4.0,4.2857,300,267,14.0,5.34
2009,MC Henriques,18.0,30.0,0.0,10.0,24.0,35.0,1.0,8.75,73,107,2.0,8.7945
2009,MF Maharoof,28.0,23.0,2.0,4.9286,12.0,19.0,1.0,9.5,64,67,4.0,6.2812
2009,MK Tiwary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,11,0.0,11.0
2009,MM Patel,87.0,67.0,7.0,4.6207,49.0,100.0,5.0,12.2449,215,245,16.0,6.8372
2009,MS Gony,79.0,130.0,3.0,9.8734,12.0,24.0,0.0,12.0,103,173,5.0,10.0777
2009,Mashrafe Mortaza,12.0,26.0,0.0,13.0,14.0,33.0,0.0,14.1429,26,59,0.0,13.6154
2009,P Kumar,151.0,183.0,5.0,7.2715,88.0,143.0,6.0,9.75,299,401,13.0,8.0468
2009,PJ Sangwan,108.0,149.0,5.0,8.2778,52.0,71.0,4.0,8.1923,282,374,15.0,7.9574
2009,PP Chawla,17.0,24.0,1.0,8.4706,24.0,37.0,4.0,9.25,269,319,12.0,7.1152
2009,PP Ojha,6.0,8.0,0.0,8.0,57.0,72.0,4.0,7.5789,321,359,18.0,6.7103
2009,Pankaj Singh,36.0,53.0,2.0,8.8333,6.0,12.0,0.0,12.0,42,65,2.0,9.2857
2009,R Ashwin,6.0,3.0,0.0,3.0,6.0,2.0,2.0,2.0,24,14,2.0,3.5
2009,R Bhatia,0.0,0.0,0.0,0.0,52.0,57.0,6.0,6.5769,130,153,10.0,7.0615
2009,R Vinay Kumar,84.0,99.0,4.0,7.0714,62.0,100.0,4.0,9.6774,194,273,9.0,8.4433
2009,RA Jadeja,6.0,7.0,0.0,7.0,26.0,36.0,0.0,8.3077,140,156,6.0,6.6857
2009,RA Shaikh,6.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,6,11,0.0,11.0
2009,RE van der Merwe,12.0,29.0,0.0,14.5,72.0,107.0,4.0,8.9167,204,263,9.0,7.7353
2009,RG Sharma,12.0,10.0,2.0,5.0,30.0,28.0,6.0,5.6,138,163,11.0,7.087
2009,RJ Harris,121.0,134.0,3.0,6.6446,60.0,95.0,3.0,9.5,187,235,6.0,7.5401
2009,RP Singh,214.0,233.0,11.0,6.5327,127.0,163.0,12.0,7.7008,365,430,23.0,7.0685
2009,RR Bose,12.0,24.0,0.0,12.0,0.0,0.0,0.0,0.0,12,24,0.0,12.0
2009,RR Powar,36.0,46.0,2.0,7.6667,0.0,0.0,0.0,0.0,126,138,5.0,6.5714
2009,RR Raje,0.0,0.0,0.0,0.0,11.0,22.0,0.0,12.0,41,72,1.0,10.5366
2009,RS Bopara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,5,0.0,3.75
2009,S Sreesanth,67.0,88.0,1.0,7.8806,20.0,65.0,1.0,19.5,141,196,6.0,8.3404
2009,S Tyagi,115.0,143.0,5.0,7.4609,0.0,0.0,0.0,0.0,115,143,5.0,7.4609
2009,SB Jakati,6.0,10.0,0.0,10.0,36.0,47.0,5.0,7.8333,174,225,13.0,7.7586
2009,SB Styris,0.0,0.0,0.0,0.0,18.0,30.0,4.0,10.0,48,64,5.0,8.0
2009,SC Ganguly,6.0,16.0,0.0,16.0,0.0,0.0,0.0,0.0,72,98,2.0,8.1667
2009,SK Raina,6.0,3.0,1.0,3.0,30.0,44.0,1.0,8.8,166,169,7.0,6.1084
2009,SK Trivedi,36.0,44.0,4.0,7.3333,36.0,56.0,1.0,9.3333,121,152,6.0,7.5372
2009,SK Warne,6.0,4.0,1.0,4.0,96.0,140.0,6.0,8.75,300,369,13.0,7.38
2009,SL Malinga,140.0,147.0,3.0,6.3,123.0,135.0,13.0,6.5854,300,334,18.0,6.68
2009,SM Harwood,18.0,7.0,1.0,2.3333,24.0,46.0,1.0,11.5,60,74,3.0,7.4
2009,SR Tendulkar,0.0,0.0,0.0,0.0,6.0,19.0,0.0,19.0,36,59,0.0,9.8333
2009,SS Sarkar,6.0,15.0,0.0,15.0,13.0,13.0,1.0,6.0,25,34,1.0,8.16
2009,ST Jayasuriya,0.0,0.0,0.0,0.0,30.0,42.0,2.0,8.4,114,165,7.0,8.6842
2009,Shoaib Ahmed,18.0,37.0,1.0,12.3333,18.0,42.0,0.0,14.0,102,154,5.0,9.0588
2009,T Henderson,0.0,0.0,0.0,0.0,18.0,28.0,0.0,9.3333,36,41,1.0,6.8333
2009,T Thushara,30.0,35.0,2.0,7.0,12.0,22.0,1.0,11.0,48,61,3.0,7.625
2009,TL Suman,0.0,0.0,0.0,0.0,18.0,32.0,1.0,10.6667,91,108,5.0,7.1209
2009,TM Dilshan,6.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,96,99,0.0,6.1875
2009,V Kohli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,46,0.0,7.6667
2009,V Sehwag,7.0,25.0,0.0,21.4286,0.0,0.0,0.0,0.0,7,25,0.0,21.4286
2009,VRV Singh,18.0,22.0,0.0,7.3333,12.0,15.0,1.0,7.5,54,83,1.0,9.2222
2009,VS Malik,49.0,72.0,2.0,8.8163,6.0,8.0,0.0,8.0,73,100,2.0,8.2192
2009,VY Mahesh,12.0,25.0,1.0,12.5,0.0,0.0,0.0,0.0,12,25,1.0,12.5
2009,WA Mota,0.0,0.0,0.0,0.0,25.0,48.0,1.0,11.52,55,62,3.0,6.7636
2009,WPUJC Vaas,31.0,34.0,3.0,6.5806,12.0,28.0,0.0,14.0,50,71,4.0,8.52
2009,Y Nagar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,20,2.0,9.2308
2009,Y Venugopal Rao,12.0,10.0,0.0,5.0,24.0,53.0,1.0,13.25,90,123,4.0,8.2
2009,YA Abdulla,78.0,92.0,7.0,7.0769,48.0,92.0,6.0,11.5,169,244,14.0,8.6627
2009,YK Pathan,96.0,97.0,5.0,6.0625,18.0,26.0,2.0,8.6667,210,248,7.0,7.0857
2009,Yuvraj Singh,0.0,0.0,0.0,0.0,18.0,12.0,0.0,4.0,120,142,6.0,7.1
2009,Z Khan,66.0,73.0,3.0,6.6364,37.0,49.0,1.0,7.9459,127,144,6.0,6.8031
2010,A Kumble,48.0,45.0,1.0,5.625,77.0,82.0,7.0,6.3896,385,422,17.0,6.5766
2010,A Mishra,80.0,69.0,5.0,5.175,49.0,75.0,3.0,9.1837,321,371,17.0,6.9346
2010,A Mithun,7.0,13.0,1.0,11.1429,6.0,19.0,0.0,19.0,19,39,1.0,12.3158
2010,A Nehra,54.0,59.0,3.0,6.5556,30.0,43.0,3.0,8.6,84,102,6.0,7.2857
2010,A Symonds,72.0,82.0,3.0,6.8333,66.0,109.0,4.0,9.9091,318,385,12.0,7.2642
2010,A Uniyal,12.0,22.0,1.0,11.0,18.0,27.0,1.0,9.0,36,67,2.0,11.1667
