batter,bowler,balls_faced,runs_scored,boundaries,dismissals,strike_rate,boundary_rate,dismissal_prob
SV Samson,Simarjeet Singh,21,28,5,1,133.3,23.8,4.76
SV Samson,T Natarajan,34,64,11,1,188.2,32.4,2.94
SV Samson,UT Yadav,24,40,7,0,166.7,29.2,0.0
SV Samson,YS Chahal,20,31,3,0,155.0,15.0,0.0
SV Samson,Yash Thakur,20,50,8,0,250.0,40.0,0.0
Sameer Rizvi,MJ Santner,20,14,2,1,70.0,10.0,5.0
Shashank Singh,JR Hazlewood,24,45,6,0,187.5,25.0,0.0
Shashank Singh,Noor Ahmad,25,41,5,0,164.0,20.0,0.0
Shashank Singh,RA Jadeja,21,25,3,1,119.0,14.3,4.76
Shubman Gill,AR Patel,54,73,8,0,135.2,14.8,0.0
Shubman Gill,Arshdeep Singh,44,59,7,1,134.1,15.9,2.27
Shubman Gill,Avesh Khan,56,69,7,4,123.2,12.5,7.14
Shubman Gill,B Kumar,45,46,6,3,102.2,13.3,6.67
Shubman Gill,CV Varun,38,63,9,0,165.8,23.7,0.0
Shubman Gill,DL Chahar,57,77,11,4,135.1,19.3,7.02
Shubman Gill,HV Patel,44,61,6,1,138.6,13.6,2.27
Shubman Gill,Harpreet Brar,28,36,3,0,128.6,10.7,0.0
Shubman Gill,I Sharma,22,29,5,1,131.8,22.7,4.55
Shubman Gill,JD Unadkat,27,31,3,0,114.8,11.1,0.0
Shubman Gill,JJ Bumrah,30,28,5,2,93.3,16.7,6.67
Shubman Gill,K Kartikeya,22,34,4,1,154.5,18.2,4.55
Shubman Gill,K Rabada,54,76,10,2,140.7,18.5,3.7
Shubman Gill,KH Pandya,47,55,4,1,117.0,8.5,2.13
Shubman Gill,Kuldeep Yadav,38,73,8,0,192.1,21.1,0.0
Shubman Gill,M Jansen,35,40,5,0,114.3,14.3,0.0
Shubman Gill,M Theekshana,20,32,4,1,160.0,20.0,5.0
Shubman Gill,MJ Santner,27,43,8,0,159.3,29.6,0.0
Shubman Gill,Mohammed Shami,35,66,12,1,188.6,34.3,2.86
Shubman Gill,Mohammed Siraj,39,52,6,1,133.3,15.4,2.56
Shubman Gill,Mustafizur Rahman,28,30,2,0,107.1,7.1,0.0
Shubman Gill,PP Chawla,24,45,5,1,187.5,20.8,4.17
Shubman Gill,PVD Chameera,22,32,5,1,145.5,22.7,4.55
Shubman Gill,R Ashwin,53,84,10,0,158.5,18.9,0.0
Shubman Gill,RA Jadeja,45,63,8,1,140.0,17.8,2.22
Shubman Gill,RD Chahar,28,48,6,1,171.4,21.4,3.57
Shubman Gill,SN Thakur,35,46,6,0,131.4,17.1,0.0
Shubman Gill,SP Narine,34,42,3,2,123.5,8.8,5.88
Shubman Gill,Sandeep Sharma,31,29,3,1,93.5,9.7,3.23
Shubman Gill,Shahbaz Ahmed,21,28,4,1,133.3,19.0,4.76
Shubman Gill,T Natarajan,35,55,6,0,157.1,17.1,0.0
Shubman Gill,TA Boult,51,60,9,1,117.6,17.6,1.96
Shubman Gill,TU Deshpande,36,60,10,2,166.7,27.8,5.56
Shubman Gill,VG Arora,37,60,10,2,162.2,27.0,5.41
Shubman Gill,YS Chahal,53,65,7,3,122.6,13.2,5.66
Shubman Gill,Zeeshan Ansari,22,35,5,0,159.1,22.7,0.0
T Stubbs,B Kumar,20,35,5,2,175.0,25.0,10.0
T Stubbs,KH Pandya,25,27,1,0,108.0,4.0,0.0
T Stubbs,Sandeep Sharma,21,48,7,1,228.6,33.3,4.76
TM Head,A Kamboj,26,41,7,1,157.7,26.9,3.85
TM Head,Arshdeep Singh,20,24,5,2,120.0,25.0,10.0
TM Head,DL Chahar,20,22,3,0,110.0,15.0,0.0
TM Head,Mukesh Kumar,21,47,9,0,223.8,42.9,0.0
TM Head,Sandeep Sharma,23,26,3,1,113.0,13.0,4.35
TM Head,TA Boult,25,27,4,1,108.0,16.0,4.0
TM Head,VG Arora,22,49,9,2,222.7,40.9,9.09
TM Head,YS Chahal,25,50,8,1,200.0,32.0,4.0
Tilak Varma,Akash Deep,20,31,5,0,155.0,25.0,0.0
Tilak Varma,Avesh Khan,22,30,4,0,136.4,18.2,0.0
Tilak Varma,CV Varun,21,32,4,1,152.4,19.0,4.76
Tilak Varma,HV Patel,21,38,5,0,181.0,23.8,0.0
Tilak Varma,Kuldeep Yadav,43,64,8,0,148.8,18.6,0.0
Tilak Varma,M Markande,22,37,5,0,168.2,22.7,0.0
Tilak Varma,M Prasidh Krishna,26,51,8,2,196.2,30.8,7.69
Tilak Varma,PJ Cummins,24,34,5,1,141.7,20.8,4.17
Tilak Varma,R Ashwin,48,60,5,1,125.0,10.4,2.08
Tilak Varma,RA Jadeja,37,49,6,1,132.4,16.2,2.7
Tilak Varma,Rashid Khan,38,46,3,2,121.1,7.9,5.26
Tilak Varma,Ravi Bishnoi,32,54,6,2,168.8,18.8,6.25
Tilak Varma,Suyash Sharma,22,23,4,2,104.5,18.2,9.09
Tilak Varma,TA Boult,28,34,3,0,121.4,10.7,0.0
Tilak Varma,YS Chahal,44,72,9,1,163.6,20.5,2.27
V Kohli,AR Patel,34,36,3,0,105.9,8.8,0.0
V Kohli,Arshdeep Singh,54,91,15,2,168.5,27.8,3.7
V Kohli,Avesh Khan,51,81,15,4,158.8,29.4,7.84
V Kohli,B Kumar,37,65,13,2,175.7,35.1,5.41
V Kohli,CV Varun,32,40,4,1,125.0,12.5,3.12
V Kohli,DL Chahar,23,34,5,0,147.8,21.7,0.0
V Kohli,HH Pandya,20,17,2,2,85.0,10.0,10.0
V Kohli,HV Patel,29,64,11,1,220.7,37.9,3.45
V Kohli,Harpreet Brar,67,74,8,2,110.4,11.9,2.99
V Kohli,Harshit Rana,24,33,3,1,137.5,12.5,4.17
